KOG1173	KOG4640
KOG1173	KOG2165
KOG1858	KOG1155
KOG1858	KOG1174
KOG1858	KOG4322
KOG1858	KOG4640
KOG1858	KOG2165
KOG1155	KOG1174
KOG1155	KOG4322
KOG1155	KOG4640
KOG1155	KOG2165
KOG1174	KOG4322
KOG1174	KOG4640
KOG1174	KOG2165
KOG4322	KOG4640
KOG4322	KOG2165
KOG4640	KOG2165
KOG0385	KOG1245
KOG2327	KOG2326
KOG2327	KOG1156
KOG2326	KOG1156
KOG1126	KOG1173
KOG1126	KOG1858
KOG1126	KOG1155
KOG1126	KOG1174
KOG1126	KOG4322
KOG1126	KOG4640
KOG1126	KOG2165
